optimalnumber,probabilityrange,date,department,capacity,probability,day,month
327,0.79718983247790309,30/01/2016,1,150,0.47,6,1
437,0.84953422671004408,30/01/2016,1,200,0.47,6,1
234,0.67668849947613019,01/02/2016,1,100,0.44,1,2
314,0.74402700904137431,01/02/2016,1,135,0.44,1,2
349,0.78454936766841965,01/02/2016,1,150,0.44,1,2
466,0.83809362278537591,01/02/2016,1,200,0.44,1,2
234,0.67668849947613019,02/02/2016,1,100,0.44,2,2
314,0.74402700904137431,02/02/2016,1,135,0.44,2,2
349,0.78454936766841965,02/02/2016,1,150,0.44,2,2
466,0.83809362278537591,02/02/2016,1,200,0.44,2,2
228,0.6811183201156934,03/02/2016,1,100,0.45,3,2
307,0.74830605843924802,03/02/2016,1,135,0.45,3,2
342,0.78871339530508977,03/02/2016,1,150,0.45,3,2
456,0.84193165809647341,03/02/2016,1,200,0.45,3,2
228,0.6811183201156934,04/02/2016,1,100,0.45,4,2
307,0.74830605843924802,04/02/2016,1,135,0.45,4,2
342,0.78871339530508977,04/02/2016,1,150,0.45,4,2
456,0.84193165809647341,04/02/2016,1,200,0.45,4,2
205,0.70403985245544964,05/02/2016,1,100,0.5,5,2
277,0.77057553537061163,05/02/2016,1,135,0.5,5,2
308,0.81007471324425562,05/02/2016,1,150,0.5,5,2
411,0.86116616311449112,05/02/2016,1,200,0.5,5,2
219,0.69007376657928954,06/02/2016,1,100,0.47,6,2
294,0.75709330055004964,06/02/2016,1,135,0.47,6,2
327,0.79718983247790309,06/02/2016,1,150,0.47,6,2
437,0.84953422671004408,06/02/2016,1,200,0.47,6,2
210,0.69943452957890839,08/02/2016,1,100,0.49,1,2
282,0.76613982535829828,08/02/2016,1,135,0.49,1,2
314,0.80581165798194854,08/02/2016,1,150,0.49,1,2
419,0.85734187931234729,08/02/2016,1,200,0.49,1,2
223,0.68554071622061696,09/02/2016,1,100,0.46,2,2
301,0.75255377325840422,09/02/2016,1,135,0.46,2,2
334,0.79292728395700163,09/02/2016,1,150,0.46,2,2
446,0.84572444880116182,09/02/2016,1,200,0.46,2,2
219,0.69007376657928954,10/02/2016,1,100,0.47,3,2
294,0.75709330055004964,10/02/2016,1,135,0.47,3,2
327,0.79718983247790309,10/02/2016,1,150,0.47,3,2
437,0.84953422671004408,10/02/2016,1,200,0.47,3,2
223,0.68554071622061696,11/02/2016,1,100,0.46,4,2
301,0.75255377325840422,11/02/2016,1,135,0.46,4,2
334,0.79292728395700163,11/02/2016,1,150,0.46,4,2
446,0.84572444880116182,11/02/2016,1,200,0.46,4,2
214,0.69482467011973614,12/02/2016,1,100,0.48,5,2
288,0.76159738698802204,12/02/2016,1,135,0.48,5,2
320,0.80143253315270013,12/02/2016,1,150,0.48,5,2
428,0.8533736228424269,12/02/2016,1,200,0.48,5,2
223,0.68554071622061696,13/02/2016,1,100,0.46,6,2
301,0.75255377325840422,13/02/2016,1,135,0.46,6,2
334,0.79292728395700163,13/02/2016,1,150,0.46,6,2
446,0.84572444880116182,13/02/2016,1,200,0.46,6,2
219,0.69007376657928954,15/02/2016,1,100,0.47,1,2
294,0.75709330055004964,15/02/2016,1,135,0.47,1,2
327,0.79718983247790309,15/02/2016,1,150,0.47,1,2
437,0.84953422671004408,15/02/2016,1,200,0.47,1,2
228,0.6811183201156934,16/02/2016,1,100,0.45,2,2
307,0.74830605843924802,16/02/2016,1,135,0.45,2,2
342,0.78871339530508977,16/02/2016,1,150,0.45,2,2
456,0.84193165809647341,16/02/2016,1,200,0.45,2,2
228,0.6811183201156934,17/02/2016,1,100,0.45,3,2
307,0.74830605843924802,17/02/2016,1,135,0.45,3,2
342,0.78871339530508977,17/02/2016,1,150,0.45,3,2
456,0.84193165809647341,17/02/2016,1,200,0.45,3,2
234,0.67668849947613019,18/02/2016,1,100,0.44,4,2
314,0.74402700904137431,18/02/2016,1,135,0.44,4,2
349,0.78454936766841965,18/02/2016,1,150,0.44,4,2
466,0.83809362278537591,18/02/2016,1,200,0.44,4,2
223,0.68554071622061696,19/02/2016,1,100,0.46,5,2
301,0.75255377325840422,19/02/2016,1,135,0.46,5,2
334,0.79292728395700163,19/02/2016,1,150,0.46,5,2
446,0.84572444880116182,19/02/2016,1,200,0.46,5,2
223,0.68554071622061696,20/02/2016,1,100,0.46,6,2
301,0.75255377325840422,20/02/2016,1,135,0.46,6,2
334,0.79292728395700163,20/02/2016,1,150,0.46,6,2
446,0.84572444880116182,20/02/2016,1,200,0.46,6,2
228,0.6811183201156934,22/02/2016,1,100,0.45,1,2
307,0.74830605843924802,22/02/2016,1,135,0.45,1,2
342,0.78871339530508977,22/02/2016,1,150,0.45,1,2
456,0.84193165809647341,22/02/2016,1,200,0.45,1,2
223,0.68554071622061696,23/02/2016,1,100,0.46,2,2
301,0.75255377325840422,23/02/2016,1,135,0.46,2,2
334,0.79292728395700163,23/02/2016,1,150,0.46,2,2
446,0.84572444880116182,23/02/2016,1,200,0.46,2,2
234,0.67668849947613019,24/02/2016,1,100,0.44,3,2
314,0.74402700904137431,24/02/2016,1,135,0.44,3,2
349,0.78454936766841965,24/02/2016,1,150,0.44,3,2
466,0.83809362278537591,24/02/2016,1,200,0.44,3,2
228,0.6811183201156934,25/02/2016,1,100,0.45,4,2
307,0.74830605843924802,25/02/2016,1,135,0.45,4,2
342,0.78871339530508977,25/02/2016,1,150,0.45,4,2
456,0.84193165809647341,25/02/2016,1,200,0.45,4,2
223,0.68554071622061696,26/02/2016,1,100,0.46,5,2
301,0.75255377325840422,26/02/2016,1,135,0.46,5,2
334,0.79292728395700163,26/02/2016,1,150,0.46,5,2
446,0.84572444880116182,26/02/2016,1,200,0.46,5,2
239,0.67256412542825095,27/02/2016,1,100,0.43,6,2
322,0.73970791132923408,27/02/2016,1,135,0.43,6,2
358,0.78047354481432707,27/02/2016,1,150,0.43,6,2
477,0.83440414800631224,27/02/2016,1,200,0.43,6,2
219,0.69007376657928954,29/02/2016,1,100,0.47,1,2
294,0.75709330055004964,29/02/2016,1,135,0.47,1,2
327,0.79718983247790309,29/02/2016,1,150,0.47,1,2
437,0.84953422671004408,29/02/2016,1,200,0.47,1,2
278,0.64832622663182804,01/03/2016,1,100,0.37,2,3
374,0.71577603619748542,01/03/2016,1,135,0.37,2,3
416,0.75713735531986592,01/03/2016,1,150,0.37,2,3
555,0.81276078918394878,01/03/2016,1,200,0.37,2,3
257,0.66013703188490458,02/03/2016,1,100,0.4,3,3
346,0.72749627882342371,02/03/2016,1,135,0.4,3,3
384,0.76859753859151581,02/03/2016,1,150,0.4,3,3
513,0.82344631316495787,02/03/2016,1,200,0.4,3,3
270,0.65209820190088119,03/03/2016,1,100,0.38,4,3
364,0.71965888851313364,03/03/2016,1,135,0.38,4,3
405,0.76091875271355613,03/03/2016,1,150,0.38,4,3
540,0.81629941005183748,03/03/2016,1,200,0.38,4,3
245,0.66827534175116876,04/03/2016,1,100,0.42,5,3
329,0.73566091113263155,04/03/2016,1,135,0.42,5,3
366,0.77654319455925525,04/03/2016,1,150,0.42,5,3
489,0.83070219178189653,04/03/2016,1,200,0.42,5,3
251,0.66412761311133017,05/03/2016,1,100,0.41,6,3
337,0.73156222289101847,05/03/2016,1,135,0.41,6,3
375,0.77257501842092302,05/03/2016,1,150,0.41,6,3
501,0.82702384962330333,05/03/2016,1,200,0.41,6,3
239,0.67256412542825095,07/03/2016,1,100,0.43,1,3
322,0.73970791132923408,07/03/2016,1,135,0.43,1,3
358,0.78047354481432707,07/03/2016,1,150,0.43,1,3
477,0.83440414800631224,07/03/2016,1,200,0.43,1,3
257,0.66013703188490458,08/03/2016,1,100,0.4,2,3
346,0.72749627882342371,08/03/2016,1,135,0.4,2,3
384,0.76859753859151581,08/03/2016,1,150,0.4,2,3
513,0.82344631316495787,08/03/2016,1,200,0.4,2,3
264,0.65600733559733915,09/03/2016,1,100,0.39,3,3
355,0.72348000893189257,09/03/2016,1,135,0.39,3,3
394,0.7647666271641288,09/03/2016,1,150,0.39,3,3
526,0.81984075550824864,09/03/2016,1,200,0.39,3,3
264,0.65600733559733915,10/03/2016,1,100,0.39,4,3
355,0.72348000893189257,10/03/2016,1,135,0.39,4,3
394,0.7647666271641288,10/03/2016,1,150,0.39,4,3
526,0.81984075550824864,10/03/2016,1,200,0.39,4,3
245,0.66827534175116876,11/03/2016,1,100,0.42,5,3
329,0.73566091113263155,11/03/2016,1,135,0.42,5,3
366,0.77654319455925525,11/03/2016,1,150,0.42,5,3
489,0.83070219178189653,11/03/2016,1,200,0.42,5,3
257,0.66013703188490458,12/03/2016,1,100,0.4,6,3
346,0.72749627882342371,12/03/2016,1,135,0.4,6,3
384,0.76859753859151581,12/03/2016,1,150,0.4,6,3
513,0.82344631316495787,12/03/2016,1,200,0.4,6,3
239,0.67256412542825095,14/03/2016,1,100,0.43,1,3
322,0.73970791132923408,14/03/2016,1,135,0.43,1,3
358,0.78047354481432707,14/03/2016,1,150,0.43,1,3
477,0.83440414800631224,14/03/2016,1,200,0.43,1,3
257,0.66013703188490458,15/03/2016,1,100,0.4,2,3
346,0.72749627882342371,15/03/2016,1,135,0.4,2,3
384,0.76859753859151581,15/03/2016,1,150,0.4,2,3
513,0.82344631316495787,15/03/2016,1,200,0.4,2,3
251,0.66412761311133017,16/03/2016,1,100,0.41,3,3
337,0.73156222289101847,16/03/2016,1,135,0.41,3,3
375,0.77257501842092302,16/03/2016,1,150,0.41,3,3
501,0.82702384962330333,16/03/2016,1,200,0.41,3,3
270,0.65209820190088119,17/03/2016,1,100,0.38,4,3
364,0.71965888851313364,17/03/2016,1,135,0.38,4,3
405,0.76091875271355613,17/03/2016,1,150,0.38,4,3
540,0.81629941005183748,17/03/2016,1,200,0.38,4,3
257,0.66013703188490458,18/03/2016,1,100,0.4,5,3
346,0.72749627882342371,18/03/2016,1,135,0.4,5,3
384,0.76859753859151581,18/03/2016,1,150,0.4,5,3
513,0.82344631316495787,18/03/2016,1,200,0.4,5,3
270,0.65209820190088119,19/03/2016,1,100,0.38,6,3
364,0.71965888851313364,19/03/2016,1,135,0.38,6,3
405,0.76091875271355613,19/03/2016,1,150,0.38,6,3
540,0.81629941005183748,19/03/2016,1,200,0.38,6,3
257,0.66013703188490458,21/03/2016,1,100,0.4,1,3
346,0.72749627882342371,21/03/2016,1,135,0.4,1,3
384,0.76859753859151581,21/03/2016,1,150,0.4,1,3
513,0.82344631316495787,21/03/2016,1,200,0.4,1,3
264,0.65600733559733915,22/03/2016,1,100,0.39,2,3
