optimalnumber,probabilityrange,date,department,capacity,probability,day,month
355,0.72348000893189257,29/03/2016,1,135,0.39,2,3
394,0.7647666271641288,29/03/2016,1,150,0.39,2,3
526,0.81984075550824864,29/03/2016,1,200,0.39,2,3
270,0.65209820190088119,30/03/2016,1,100,0.38,3,3
364,0.71965888851313364,30/03/2016,1,135,0.38,3,3
405,0.76091875271355613,30/03/2016,1,150,0.38,3,3
540,0.81629941005183748,30/03/2016,1,200,0.38,3,3
278,0.64832622663182804,31/03/2016,1,100,0.37,4,3
374,0.71577603619748542,31/03/2016,1,135,0.37,4,3
416,0.75713735531986592,31/03/2016,1,150,0.37,4,3
555,0.81276078918394878,31/03/2016,1,200,0.37,4,3
239,0.67256412542825095,01/04/2016,1,100,0.43,5,4
322,0.73970791132923408,01/04/2016,1,135,0.43,5,4
358,0.78047354481432707,01/04/2016,1,150,0.43,5,4
477,0.83440414800631224,01/04/2016,1,200,0.43,5,4
264,0.65600733559733915,02/04/2016,1,100,0.39,6,4
355,0.72348000893189257,02/04/2016,1,135,0.39,6,4
394,0.7647666271641288,02/04/2016,1,150,0.39,6,4
526,0.81984075550824864,02/04/2016,1,200,0.39,6,4
257,0.66013703188490458,04/04/2016,1,100,0.4,1,4
346,0.72749627882342371,04/04/2016,1,135,0.4,1,4
384,0.76859753859151581,04/04/2016,1,150,0.4,1,4
513,0.82344631316495787,04/04/2016,1,200,0.4,1,4
264,0.65600733559733915,05/04/2016,1,100,0.39,2,4
355,0.72348000893189257,05/04/2016,1,135,0.39,2,4
394,0.7647666271641288,05/04/2016,1,150,0.39,2,4
526,0.81984075550824864,05/04/2016,1,200,0.39,2,4
278,0.64832622663182804,06/04/2016,1,100,0.37,3,4
374,0.71577603619748542,06/04/2016,1,135,0.37,3,4
416,0.75713735531986592,06/04/2016,1,150,0.37,3,4
555,0.81276078918394878,06/04/2016,1,200,0.37,3,4
286,0.64443625099416335,07/04/2016,1,100,0.36,4,4
384,0.71201127324616331,07/04/2016,1,135,0.36,4,4
427,0.75348015542033397,07/04/2016,1,150,0.36,4,4
570,0.80929346381103284,07/04/2016,1,200,0.36,4,4
251,0.66412761311133017,08/04/2016,1,100,0.41,5,4
337,0.73156222289101847,08/04/2016,1,135,0.41,5,4
375,0.77257501842092302,08/04/2016,1,150,0.41,5,4
501,0.82702384962330333,08/04/2016,1,200,0.41,5,4
257,0.66013703188490458,09/04/2016,1,100,0.4,6,4
346,0.72749627882342371,09/04/2016,1,135,0.4,6,4
384,0.76859753859151581,09/04/2016,1,150,0.4,6,4
513,0.82344631316495787,09/04/2016,1,200,0.4,6,4
270,0.65209820190088119,11/04/2016,1,100,0.38,1,4
364,0.71965888851313364,11/04/2016,1,135,0.38,1,4
405,0.76091875271355613,11/04/2016,1,150,0.38,1,4
540,0.81629941005183748,11/04/2016,1,200,0.38,1,4
278,0.64832622663182804,12/04/2016,1,100,0.37,2,4
374,0.71577603619748542,12/04/2016,1,135,0.37,2,4
416,0.75713735531986592,12/04/2016,1,150,0.37,2,4
555,0.81276078918394878,12/04/2016,1,200,0.37,2,4
270,0.65209820190088119,13/04/2016,1,100,0.38,3,4
364,0.71965888851313364,13/04/2016,1,135,0.38,3,4
405,0.76091875271355613,13/04/2016,1,150,0.38,3,4
